geo,geo_label,time,year,size_emp,size_emp_label,size_order,ai_adoption_pct
AT,Austria,2025,2025,10-49,From 10 to 49 persons employed,1,26.18
AT,Austria,2025,2025,50-249,From 50 to 249 persons employed,2,44.56
AT,Austria,2025,2025,GE250,250 persons employed or more,3,68.26
AT,Austria,2025,2025,GE10,10 persons employed or more,4,29.95
BE,Belgium,2025,2025,10-49,From 10 to 49 persons employed,1,28.82
BE,Belgium,2025,2025,50-249,From 50 to 249 persons employed,2,54.49
BE,Belgium,2025,2025,GE250,250 persons employed or more,3,76.41
BE,Belgium,2025,2025,GE10,10 persons employed or more,4,34.54
BG,Bulgaria,2025,2025,10-49,From 10 to 49 persons employed,1,7.17
BG,Bulgaria,2025,2025,50-249,From 50 to 249 persons employed,2,13.3
BG,Bulgaria,2025,2025,GE250,250 persons employed or more,3,26.18
BG,Bulgaria,2025,2025,GE10,10 persons employed or more,4,8.55
CY,Cyprus,2025,2025,10-49,From 10 to 49 persons employed,1,7.72
CY,Cyprus,2025,2025,50-249,From 50 to 249 persons employed,2,15.31
CY,Cyprus,2025,2025,GE250,250 persons employed or more,3,35.07
CY,Cyprus,2025,2025,GE10,10 persons employed or more,4,9.27
CZ,Czechia,2025,2025,10-49,From 10 to 49 persons employed,1,13.38
CZ,Czechia,2025,2025,50-249,From 50 to 249 persons employed,2,28.79
CZ,Czechia,2025,2025,GE250,250 persons employed or more,3,54.1
CZ,Czechia,2025,2025,GE10,10 persons employed or more,4,17.6
DE,Germany,2025,2025,10-49,From 10 to 49 persons employed,1,23.06
DE,Germany,2025,2025,50-249,From 50 to 249 persons employed,2,35.56
DE,Germany,2025,2025,GE250,250 persons employed or more,3,56.99
DE,Germany,2025,2025,GE10,10 persons employed or more,4,25.97
DK,Denmark,2025,2025,10-49,From 10 to 49 persons employed,1,37.45
DK,Denmark,2025,2025,50-249,From 50 to 249 persons employed,2,58.27
DK,Denmark,2025,2025,GE250,250 persons employed or more,3,74.52
DK,Denmark,2025,2025,GE10,10 persons employed or more,4,42.03
EE,Estonia,2025,2025,10-49,From 10 to 49 persons employed,1,20.74
EE,Estonia,2025,2025,50-249,From 50 to 249 persons employed,2,33.1
EE,Estonia,2025,2025,GE250,250 persons employed or more,3,52.9
EE,Estonia,2025,2025,GE10,10 persons employed or more,4,23.4
EL,Greece,2025,2025,10-49,From 10 to 49 persons employed,1,7.33
EL,Greece,2025,2025,50-249,From 50 to 249 persons employed,2,15.18
EL,Greece,2025,2025,GE250,250 persons employed or more,3,37.58
EL,Greece,2025,2025,GE10,10 persons employed or more,4,8.93
ES,Spain,2025,2025,10-49,From 10 to 49 persons employed,1,17.17
ES,Spain,2025,2025,50-249,From 50 to 249 persons employed,2,30.1
ES,Spain,2025,2025,GE250,250 persons employed or more,3,57.46
ES,Spain,2025,2025,GE10,10 persons employed or more,4,20.27
EU27_2020,European Union - 27 countries (from 2020),2025,2025,10-49,From 10 to 49 persons employed,1,17.0
EU27_2020,European Union - 27 countries (from 2020),2025,2025,50-249,From 50 to 249 persons employed,2,30.36
EU27_2020,European Union - 27 countries (from 2020),2025,2025,GE250,250 persons employed or more,3,55.03
EU27_2020,European Union - 27 countries (from 2020),2025,2025,GE10,10 persons employed or more,4,19.95
FI,Finland,2025,2025,10-49,From 10 to 49 persons employed,1,33.51
FI,Finland,2025,2025,50-249,From 50 to 249 persons employed,2,51.35
FI,Finland,2025,2025,GE250,250 persons employed or more,3,79.4
FI,Finland,2025,2025,GE10,10 persons employed or more,4,37.82
FR,France,2025,2025,10-49,From 10 to 49 persons employed,1,15.04
FR,France,2025,2025,50-249,From 50 to 249 persons employed,2,30.81
FR,France,2025,2025,GE250,250 persons employed or more,3,58.01
FR,France,2025,2025,GE10,10 persons employed or more,4,18.16
HR,Croatia,2025,2025,10-49,From 10 to 49 persons employed,1,12.77
HR,Croatia,2025,2025,50-249,From 50 to 249 persons employed,2,25.5
HR,Croatia,2025,2025,GE250,250 persons employed or more,3,39.57
HR,Croatia,2025,2025,GE10,10 persons employed or more,4,15.19
HU,Hungary,2025,2025,10-49,From 10 to 49 persons employed,1,8.7
HU,Hungary,2025,2025,50-249,From 50 to 249 persons employed,2,15.34
HU,Hungary,2025,2025,GE250,250 persons employed or more,3,39.99
HU,Hungary,2025,2025,GE10,10 persons employed or more,4,10.37
IE,Ireland,2025,2025,10-49,From 10 to 49 persons employed,1,16.75
IE,Ireland,2025,2025,50-249,From 50 to 249 persons employed,2,28.02
IE,Ireland,2025,2025,GE250,250 persons employed or more,3,57.27
IE,Ireland,2025,2025,GE10,10 persons employed or more,4,19.64
IT,Italy,2025,2025,10-49,From 10 to 49 persons employed,1,14.23
IT,Italy,2025,2025,50-249,From 50 to 249 persons employed,2,27.62
IT,Italy,2025,2025,GE250,250 persons employed or more,3,53.09
IT,Italy,2025,2025,GE10,10 persons employed or more,4,16.4
LT,Lithuania,2025,2025,10-49,From 10 to 49 persons employed,1,18.06
LT,Lithuania,2025,2025,50-249,From 50 to 249 persons employed,2,30.36
LT,Lithuania,2025,2025,GE250,250 persons employed or more,3,51.75
LT,Lithuania,2025,2025,GE10,10 persons employed or more,4,21.3
LU,Luxembourg,2025,2025,10-49,From 10 to 49 persons employed,1,30.48
LU,Luxembourg,2025,2025,50-249,From 50 to 249 persons employed,2,43.68
LU,Luxembourg,2025,2025,GE250,250 persons employed or more,3,57.97
LU,Luxembourg,2025,2025,GE10,10 persons employed or more,4,33.61
LV,Latvia,2025,2025,10-49,From 10 to 49 persons employed,1,9.77
LV,Latvia,2025,2025,50-249,From 50 to 249 persons employed,2,19.78
LV,Latvia,2025,2025,GE250,250 persons employed or more,3,47.09
LV,Latvia,2025,2025,GE10,10 persons employed or more,4,12.21
MT,Malta,2025,2025,10-49,From 10 to 49 persons employed,1,18.04
MT,Malta,2025,2025,50-249,From 50 to 249 persons employed,2,30.66
MT,Malta,2025,2025,GE250,250 persons employed or more,3,51.75
MT,Malta,2025,2025,GE10,10 persons employed or more,4,21.51
NL,Netherlands,2025,2025,10-49,From 10 to 49 persons employed,1,28.76
NL,Netherlands,2025,2025,50-249,From 50 to 249 persons employed,2,46.62
NL,Netherlands,2025,2025,GE250,250 persons employed or more,3,67.64
NL,Netherlands,2025,2025,GE10,10 persons employed or more,4,33.21
PL,Poland,2025,2025,10-49,From 10 to 49 persons employed,1,5.79
PL,Poland,2025,2025,50-249,From 50 to 249 persons employed,2,14.77
PL,Poland,2025,2025,GE250,250 persons employed or more,3,45.81
PL,Poland,2025,2025,GE10,10 persons employed or more,4,8.36
PT,Portugal,2025,2025,10-49,From 10 to 49 persons employed,1,9.43
PT,Portugal,2025,2025,50-249,From 50 to 249 persons employed,2,18.21
PT,Portugal,2025,2025,GE250,250 persons employed or more,3,49.15
PT,Portugal,2025,2025,GE10,10 persons employed or more,4,11.54
RO,Romania,2025,2025,10-49,From 10 to 49 persons employed,1,4.13
RO,Romania,2025,2025,50-249,From 50 to 249 persons employed,2,7.79
RO,Romania,2025,2025,GE250,250 persons employed or more,3,20.75
RO,Romania,2025,2025,GE10,10 persons employed or more,4,5.21
SE,Sweden,2025,2025,10-49,From 10 to 49 persons employed,1,30.74
SE,Sweden,2025,2025,50-249,From 50 to 249 persons employed,2,49.6
SE,Sweden,2025,2025,GE250,250 persons employed or more,3,71.87
SE,Sweden,2025,2025,GE10,10 persons employed or more,4,35.04
SI,Slovenia,2025,2025,10-49,From 10 to 49 persons employed,1,18.29
SI,Slovenia,2025,2025,50-249,From 50 to 249 persons employed,2,30.62
SI,Slovenia,2025,2025,GE250,250 persons employed or more,3,71.74
SI,Slovenia,2025,2025,GE10,10 persons employed or more,4,21.61
SK,Slovakia,2025,2025,10-49,From 10 to 49 persons employed,1,15.59
SK,Slovakia,2025,2025,50-249,From 50 to 249 persons employed,2,23.05
SK,Slovakia,2025,2025,GE250,250 persons employed or more,3,43.74
SK,Slovakia,2025,2025,GE10,10 persons employed or more,4,18.0
